Differences between 
	sv6_GenTest__SV6.bin 
and 
	sv6_GenTest__out__sv6.bin 
----------------------------------------------
Address		Length of span	File 1	File 2
----------------------------------------------
00000000:	2		78BE..	0000..
00271004:	2		0000..	FFFF..
0027101C:	4		FE8B..	FFFF..
00271024:	3		A086..	400D..
00271028:	3		A086..	8084..
0027102D:	2		0004..	A000..
00271032:	2		E008..	0080..
00271035:	2		0360..	0000..
00271038:	1		0100..	0000..
0027103A:	6		1F06..	FFFF..
00271042:	4		100E..	FFFF..
00271047:	1		0200..	0000..
0027104C:	80		0000..	FFFF..
002710A0:	3		0000..	06A1..
002710A4:	3		0000..	06A1..
002710A8:	3		0000..	0EA1..
002710B0:	2		0000..	1EC7..
002710B4:	4		0000..	0EA1..
002710BE:	1		0000..	1000..
002710C0:	4		0000..	4EA1..
002710C6:	1		0000..	1000..
002710C8:	7		0000..	CEBB..
002710D0:	6		0000..	4EAB..
002710E4:	2		0000..	0641..
002710EC:	2		0000..	0641..
002710EF:	1		0000..	0400..
00271134:	1		0000..	0600..
0027113A:	1		0000..	1000..
0027113C:	4		0000..	DEBF..
00271154:	2		0000..	06C1..
00271157:	1		00CE..	01CE..
00271160:	6		0000..	0EA1..
00271167:	9		0000..	014E..
00271178:	2		0000..	0EC1..
0027117C:	3		0000..	0623..
00271180:	2		0000..	06C1..
00271184:	7		0000..	CEBB..
0027118C:	10		0000..	42BB..
00271198:	2		0000..	0641..
0027119C:	4		0000..	4EBB..
002711A2:	1		0000..	1000..
002711AC:	3		0000..	06A0..
002711B0:	9		0000..	CEBB..
002711BA:	4		0000..	0101..
002711BF:	1		0000..	0100..
002711C4:	2		0000..	06C0..
002711C8:	3		0000..	0620..
002711E0:	6		0000..	4EBB..
002711E7:	11		0000..	104E..
002711F3:	1		00C6..	01C6..
0027128C:	2		0000..	C010..
00271290:	1		0000..	4000..
00271294:	1		0000..	4000..
00271298:	1		0000..	C000..
002712B4:	1		0000..	4000..
002712C0:	1		0000..	4000..
002712C8:	1		0000..	C000..
002712D0:	1		0000..	4000..
002712EE:	1		0000..	1000..
00271334:	1		0000..	1000..
0027133C:	2		0000..	C102..
00271355:	1		0000..	4000..
00271364:	2		0000..	4080..
00271368:	1		0000..	4000..
0027136A:	1		0000..	0500..
0027136C:	1		0000..	4000..
0027136E:	1		0000..	0A00..
00271384:	1		0000..	4000..
00271386:	1		0000..	2100..
0027138C:	1		0000..	4000..
0027138E:	1		0000..	4200..
00271390:	1		0000..	0800..
00271394:	1		0000..	0400..
0027139C:	2		0000..	C009..
002713B0:	1		0000..	4000..
002713B4:	1		0000..	4000..
