Differences between 
	in_parkData.bin 
and 
	out_parkData.bin 
----------------------------------------------
Address		Length of span	File 1	File 2
----------------------------------------------
0027101C:	4		FE8B..	FFFF..
00271024:	3		A086..	400D..
00271028:	3		A086..	8084..
0027102D:	1		0004..	A004..
00271032:	2		E008..	0080..
0027103A:	6		1F06..	FFFF..
00271042:	4		100E..	FFFF..
0027104C:	80		0000..	FFFF..
002710A0:	3		0000..	06A1..
002710A4:	3		0000..	06A1..
002710A8:	3		0000..	0EA1..
002710B0:	2		0000..	1EC7..
002710B4:	4		0000..	0EA1..
002710BE:	1		0000..	1000..
002710C0:	4		0000..	4EA1..
002710C6:	1		0000..	1000..
002710C8:	7		0000..	CEBB..
002710D0:	6		0000..	4EAB..
002710E4:	2		0000..	0641..
002710EC:	2		0000..	0641..
002710EF:	1		0000..	0400..
00271134:	1		0000..	0600..
0027113A:	1		0000..	1000..
0027113C:	4		0000..	DEBF..
00271154:	2		0000..	06C1..
00271157:	1		00CE..	01CE..
00271160:	6		0000..	0EA1..
00271167:	9		0000..	014E..
00271178:	2		0000..	0EC1..
0027117C:	3		0000..	0623..
00271180:	2		0000..	06C1..
00271184:	7		0000..	CEBB..
0027118C:	10		0000..	42BB..
00271198:	2		0000..	0641..
0027119C:	4		0000..	4EBB..
002711A2:	1		0000..	1000..
002711AC:	3		0000..	06A0..
002711B0:	9		0000..	CEBB..
002711BA:	4		0000..	0101..
002711BF:	1		0000..	0100..
002711C4:	2		0000..	06C0..
002711C8:	3		0000..	0620..
002711E0:	6		0000..	4EBB..
002711E7:	11		0000..	104E..
002711F3:	1		00C6..	01C6..
0027128C:	2		0000..	C010..
00271290:	1		0000..	4000..
00271294:	1		0000..	4000..
00271298:	1		0000..	C000..
002712B4:	1		0000..	4000..
002712C0:	1		0000..	4000..
002712C8:	1		0000..	C000..
002712D0:	1		0000..	4000..
002712EE:	1		0000..	1000..
00271334:	1		0000..	1000..
0027133C:	2		0000..	C102..
00271355:	1		0000..	4000..
00271364:	2		0000..	4080..
00271368:	1		0000..	4000..
0027136A:	1		0000..	0500..
0027136C:	1		0000..	4000..
0027136E:	1		0000..	0A00..
00271384:	1		0000..	4000..
00271386:	1		0000..	2100..
0027138C:	1		0000..	4000..
0027138E:	1		0000..	4200..
00271390:	1		0000..	0800..
00271394:	1		0000..	0400..
0027139C:	2		0000..	C009..
002713B0:	1		0000..	4000..
002713B4:	1		0000..	4000..
002713B8:	1		0000..	3000..
002713BC:	1		0000..	4000..
002713E0:	2		0000..	4001..
002713E5:	1		0000..	0200..
002713E8:	1		0000..	C000..
002713F0:	1		0000..	4000..
00271D40:	1		0504..	0304..
00272394:	4		0000..	2002..
002723C4:	5		4368..	5573..
0027240C:	4		2362..	E05A..
00272440:	1		2D96..	3996..
00272443:	1		C100..	9E00..
00272FB4:	12		6261..	426C..
00272FC1:	2		6E61..	7200..
002CAABA:	1333		0000..	FFFF..
002CAFF0:	4639		0100..	FFFF..
002CC210:	6614		0000..	FFFF..
002CDBE7:	91859		0100..	FFFF..
002E438E:	1		010B..	020B..
002E4390:	6		6206..	8007..
