Differences between 
	in_parkData.bin 
and 
	out_parkData.bin 
----------------------------------------------
Address		Length of span	File 1	File 2
----------------------------------------------
00000000:	4		FE8B..	FFFF..
00000008:	3		A086..	400D..
0000000C:	3		A086..	8084..
00000011:	1		0004..	A004..
00000016:	2		E008..	0080..
0000001E:	6		1F06..	FFFF..
00000026:	4		100E..	FFFF..
00000030:	80		0000..	FFFF..
00000084:	3		0000..	06A1..
00000088:	3		0000..	06A1..
0000008C:	3		0000..	0EA1..
00000094:	2		0000..	1EC7..
00000098:	4		0000..	0EA1..
000000A2:	1		0000..	1000..
000000A4:	4		0000..	4EA1..
000000AA:	1		0000..	1000..
000000AC:	7		0000..	CEBB..
000000B4:	6		0000..	4EAB..
000000C8:	2		0000..	0641..
000000D0:	2		0000..	0641..
000000D3:	1		0000..	0400..
00000118:	1		0000..	0600..
0000011E:	1		0000..	1000..
00000120:	4		0000..	DEBF..
00000138:	2		0000..	06C1..
0000013B:	1		00CE..	01CE..
00000144:	6		0000..	0EA1..
0000014B:	9		0000..	014E..
0000015C:	2		0000..	0EC1..
00000160:	3		0000..	0623..
00000164:	2		0000..	06C1..
00000168:	7		0000..	CEBB..
00000170:	10		0000..	42BB..
0000017C:	2		0000..	0641..
00000180:	4		0000..	4EBB..
00000186:	1		0000..	1000..
00000190:	3		0000..	06A0..
00000194:	9		0000..	CEBB..
0000019E:	4		0000..	0101..
000001A3:	1		0000..	0100..
000001A8:	2		0000..	06C0..
000001AC:	3		0000..	0620..
000001C4:	6		0000..	4EBB..
000001CB:	11		0000..	104E..
000001D7:	1		00C6..	01C6..
00000270:	2		0000..	C010..
00000274:	1		0000..	4000..
00000278:	1		0000..	4000..
0000027C:	1		0000..	C000..
00000298:	1		0000..	4000..
000002A4:	1		0000..	4000..
000002AC:	1		0000..	C000..
000002B4:	1		0000..	4000..
000002D2:	1		0000..	1000..
00000318:	1		0000..	1000..
00000320:	2		0000..	C102..
00000339:	1		0000..	4000..
00000348:	2		0000..	4080..
0000034C:	1		0000..	4000..
0000034E:	1		0000..	0500..
00000350:	1		0000..	4000..
00000352:	1		0000..	0A00..
00000368:	1		0000..	4000..
0000036A:	1		0000..	2100..
00000370:	1		0000..	4000..
00000372:	1		0000..	4200..
00000374:	1		0000..	0800..
00000378:	1		0000..	0400..
00000380:	2		0000..	C009..
00000394:	1		0000..	4000..
00000398:	1		0000..	4000..
0000039C:	1		0000..	3000..
000003A0:	1		0000..	4000..
000003C4:	2		0000..	4001..
000003C9:	1		0000..	0200..
000003CC:	1		0000..	C000..
000003D4:	1		0000..	4000..
00000D24:	1		0504..	0304..
00001378:	4		0000..	2002..
000013A8:	5		4368..	5573..
000013F0:	4		2362..	E05A..
00001424:	1		2D96..	3996..
00001427:	1		C100..	9E00..
00001F98:	12		6261..	426C..
00001FA5:	2		6E61..	7200..
00059A9E:	1333		0000..	FFFF..
00059FD4:	4639		0100..	FFFF..
0005B1F4:	6614		0000..	FFFF..
0005CBCB:	91859		0100..	FFFF..
00073372:	1		010B..	020B..
00073374:	6		6206..	8007..
